player,playerId,position,age,gamesPlayed,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,caughtStealingPercentage,groundIntoDoublePlay,numberOfPitches,plateAppearances,totalBases,rbi,leftOnBase,sacBunts,sacFlies,babip,groundOutsToAirouts,catchersInterference,atBatsPerHomeRun
Eduardo Valencia,680664,DH,26,3,2,0,3,0,0,2,2,0,0,5,1,.556,9,.600,1.222,1.822,0,0,.---,.---,0,37,10,11,3,2,0,0,.600,2.00,0,4.50
Riley Greene,682985,LF,25,94,55,84,48,19,1,13,106,51,2,98,2,.288,340,.381,.465,.846,1,2,.667,.333,9,1646,396,158,45,156,0,3,.379,0.65,0,26.15
Kevin McGonigle,805808,SS,21,92,59,133,58,18,3,8,56,59,0,99,3,.285,347,.394,.424,.818,0,11,1.000,.000,2,1659,409,147,34,119,0,0,.322,0.44,0,43.38
Gleyber Torres,650402,2B,29,43,45,37,26,6,0,4,33,29,1,44,2,.280,157,.395,.395,.790,0,0,.---,.---,2,814,190,62,18,57,0,2,.328,1.22,0,39.25
Dillon Dingler,693307,C,27,86,70,94,48,19,2,19,75,23,0,85,8,.265,321,.327,.514,.841,0,0,.---,.---,10,1367,357,165,60,142,0,3,.287,0.74,2,16.90
Ben Malgeri,701162,RF,26,11,5,6,2,1,0,0,7,4,0,6,0,.261,23,.357,.304,.661,0,0,.---,.---,0,109,28,7,4,17,0,1,.353,0.83,0,-.--
Javier Báez,595879,SS,33,24,23,20,10,5,0,2,16,2,0,20,1,.256,78,.280,.397,.677,1,1,.500,.500,2,279,82,31,6,39,0,1,.295,1.15,0,39.00
Hao-Yu Lee,701678,2B,23,55,27,44,11,6,1,4,41,7,0,38,0,.255,149,.288,.389,.677,2,1,.333,.667,1,549,157,58,15,56,1,0,.327,0.61,0,37.25
Parker Meadows,678009,CF,26,12,8,9,3,1,1,0,10,2,0,9,1,.250,36,.308,.333,.641,0,3,1.000,.000,0,163,39,12,2,21,0,0,.346,0.89,0,-.--
Colt Keith,690993,3B,24,85,58,79,35,9,2,8,52,14,0,62,3,.248,250,.295,.396,.691,0,4,1.000,.000,5,973,268,99,22,114,0,1,.283,0.73,0,31.25
Kerry Carpenter,681481,RF,28,72,32,57,26,5,2,13,70,18,0,45,5,.224,201,.300,.463,.763,0,0,.---,.---,2,908,229,93,36,90,0,3,.264,0.56,2,15.46
Spencer Torkelson,679529,1B,26,94,49,85,38,18,0,16,120,41,0,67,5,.210,319,.308,.417,.725,1,0,.000,1.000,8,1576,368,133,43,143,0,2,.276,0.58,1,19.94
Matt Vierling,663837,CF,29,80,63,87,23,12,2,5,41,19,0,49,0,.209,235,.264,.340,.604,2,3,.600,.400,4,980,259,80,30,116,1,4,.228,0.72,0,47.00
Zach McKinstry,656716,2B,31,70,63,73,21,6,2,4,42,25,1,42,0,.195,215,.277,.298,.575,3,1,.250,.750,4,944,245,64,19,80,3,2,.222,0.86,0,53.75
Wenceel Pérez,672761,RF,26,53,43,60,22,4,1,7,29,14,0,29,0,.180,161,.246,.348,.594,1,3,.750,.250,1,653,175,56,17,81,0,0,.176,0.72,0,23.00
Jake Rogers,668670,C,31,32,12,31,11,2,1,3,30,11,0,15,1,.176,85,.273,.329,.602,0,1,1.000,.000,0,399,100,28,9,34,1,2,.222,0.39,0,28.33
Jace Jung,690291,DH,25,3,1,3,1,0,0,0,1,2,0,1,0,.167,6,.375,.167,.542,0,0,.---,.---,0,33,8,1,0,6,0,0,.200,0.33,0,-.--
Zack Short,670097,SS,31,23,2,18,3,2,0,0,12,7,0,6,1,.167,36,.304,.222,.526,0,0,.---,.---,0,212,46,8,2,16,0,2,.231,0.11,0,-.--
Gage Workman,669398,3B,26,16,8,8,3,3,0,2,16,0,0,6,0,.158,38,.158,.395,.553,0,0,.---,.---,0,142,38,15,5,17,0,0,.200,1.00,0,19.00
James Outman,681546,CF,29,23,8,14,8,0,1,3,27,5,0,9,0,.155,58,.222,.345,.567,0,1,1.000,.000,0,255,63,20,10,26,0,0,.214,0.57,0,19.33
Jahmai Jones,663330,DH,28,57,20,27,7,2,0,2,35,10,0,13,0,.137,95,.219,.221,.440,2,0,.000,1.000,3,386,105,21,7,64,0,0,.190,0.74,0,47.50
Trei Cruz,669360,LF,27,2,1,1,0,0,0,0,3,0,0,0,0,.000,5,.000,.000,.000,0,0,.---,.---,0,21,5,0,0,3,0,0,.000,1.00,0,-.--
Kenley Jansen,445276,P,38,27,0,0,0,0,0,0,0,0,0,0,0,.000,0,.000,.000,.000,0,0,.---,.---,0,0,0,0,0,0,0,0,.---,-.--,0,-.--
Ricky Vanasco,676568,P,27,5,0,0,0,0,0,0,0,0,0,0,0,.000,0,.000,.000,.000,0,0,.---,.---,0,0,0,0,0,0,0,0,.---,-.--,0,-.--
Will Vest,676684,P,31,27,0,0,0,0,0,0,0,0,0,0,0,.000,0,.000,.000,.000,0,0,.---,.---,0,0,0,0,0,0,0,0,.---,-.--,0,-.--
Jacob Waguespack,621097,P,32,9,0,0,0,0,0,0,0,0,0,0,0,.000,0,.000,.000,.000,0,0,.---,.---,0,0,0,0,0,0,0,0,.---,-.--,0,-.--
